Invoice ID,Customer,Division,Department,Cost Center,Vendor,Invoice Date,Due Date,Amount,Tax,Currency,Payment Method,Payment Status,Days Late,Expense Category,Account Code,Ledger Type
INV-2023-10000,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,Mindgrove Technologies,2023-04-25,2023-05-10,433337.63,78000.77,INR,Corporate Credit Card,Paid,0,EDA Tools & Software Licenses,AC-5000,Direct Services Cost (COGS)
INV-2023-10001,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Apple,2023-05-23,2023-06-07,211595.09,38087.12,INR,Bank Transfer (NEFT),Paid,0,Hardware & Workstations,AC-5015,Operating Expense (OpEx)
INV-2024-10002,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Sodexo,2024-08-27,2024-10-26,95144.13,17125.94,INR,Corporate Credit Card,Paid,0,Office Utilities & Janitorial,AC-5009,Operating Expense (OpEx)
INV-2023-10003,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Verizon,2023-08-27,2023-09-11,76759.33,13816.68,INR,Bank Transfer (NEFT),Paid,0,Internet & Telecom,AC-5016,Operating Expense (OpEx)
INV-2024-10004,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,Yotta Data Services,2024-07-12,2024-09-10,2994735.01,539052.3,INR,Bank Transfer (NEFT),Paid,0,Cloud Compute & Server Hosting,AC-5004,Direct Services Cost (COGS)
INV-2023-10005,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Dell Technologies,2023-06-13,2023-08-12,259073.92,46633.31,INR,Corporate Credit Card,Paid,0,Hardware & Workstations,AC-5015,Operating Expense (OpEx)
INV-2023-10006,Silicon Interfaces,Corporate / Shared,Finance & Legal,CC-CORP-FIN,Stripe,2023-12-11,2023-12-26,40227.73,7240.99,INR,Corporate Credit Card,Paid,0,Bank & Financial Charges,AC-5014,Administrative & General
INV-2023-10007,Silicon Interfaces,Corporate / Shared,Finance & Legal,CC-CORP-FIN,Grant Thornton India,2023-12-19,2024-02-02,27418.57,4935.34,INR,Bank Transfer (NEFT),Pending,0,Legal & Accounting Fees,AC-5013,Administrative & General
INV-2024-10008,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,MosChip Technologies,2024-07-03,2024-07-18,2004483.55,360807.04,INR,Bank Transfer (RTGS),Overdue,49,Hardware Emulation & IP Licensing,AC-5001,Direct Services Cost (COGS)
INV-2023-10009,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,MosChip Technologies,2023-10-28,2023-12-12,2002862.29,360515.21,INR,Bank Transfer (RTGS),Paid,0,EDA Tools & Software Licenses,AC-5000,Direct Services Cost (COGS)
