Invoice ID,Customer,Division,Department,Cost Center,Vendor,Invoice Date,Due Date,Amount,Tax,Currency,Payment Method,Payment Status,Days Late,Expense Category,Account Code,Ledger Type,Revenue,Is_Default,Credit_Score,Credit_Risk_Level,Net_Profit,Audit_Risk_Score,Predicted Expense Category
INV-2023-13206,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,Interactive Avenues,2023-01-01,2023-01-31,178570.34,32142.66,INR,Direct Debit,Pending,0,Digital Advertising & PR,AC-5010,Sales & Marketing,221904.39040500057,0,514,Very Poor,11191.39040500057,0,Digital Advertising & PR
INV-2023-11207,Silicon Interfaces,Corporate / Shared,Finance & Legal,CC-CORP-FIN,Deloitte,2023-01-01,2023-02-15,42586.45,7665.56,INR,Direct Debit,Paid,0,Legal & Accounting Fees,AC-5013,Administrative & General,52337.41986134699,0,434,Very Poor,2085.409861346995,0,Legal & Accounting Fees
INV-2023-10668,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,HCL Infosystems,2023-01-01,2023-02-15,486817.65,87627.18,INR,Corporate Credit Card,Overdue,26,Hardware & Workstations,AC-5015,Operating Expense (OpEx),658259.5954573486,0,737,Good,83814.7654573486,0,Hardware & Workstations
INV-2023-13723,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,SAP SuccessFactors,2023-01-01,2023-01-31,14580.82,2624.55,INR,Corporate UPI,Paid,0,HR & Payroll Software,AC-5008,Operating Expense (OpEx),20519.925770495844,0,370,Very Poor,3314.5557704958437,0,HR & Payroll Software
INV-2023-14679,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,MosChip Technologies,2023-01-01,2023-02-15,506542.27,91177.61,INR,Bank Transfer (RTGS),Overdue,44,Hardware Emulation & IP Licensing,AC-5001,Direct Services Cost (COGS),641039.522838279,1,765,Very Good,43319.642838279,0,Hardware Emulation & IP Licensing
INV-2023-14931,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,Social Beat,2023-01-01,2023-01-16,59273.63,10669.25,INR,Corporate Credit Card,Paid,0,Digital Advertising & PR,AC-5010,Sales & Marketing,71728.21416768072,0,613,Fair,1785.334167680725,0,Digital Advertising & PR
INV-2023-12743,Silicon Interfaces,Corporate / Shared,Finance & Legal,CC-CORP-FIN,PayPal,2023-01-01,2023-01-16,88315.45,15896.78,INR,Bank Transfer (NEFT),Paid,0,Bank & Financial Charges,AC-5014,Administrative & General,112331.36657697632,0,462,Very Poor,8119.13657697632,0,Bank & Financial Charges
INV-2023-14064,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,GitHub,2023-01-01,2023-01-31,825.5,0.0,USD,Wire Transfer,Paid,0,Software Subscriptions (SaaS),AC-5005,Operating Expense (OpEx),948.6690337428332,0,744,Very Good,123.16903374283322,0,Software Subscriptions (SaaS)
INV-2023-14620,Silicon Interfaces,Corporate / Shared,Sales & Marketing,CC-CORP-MKT,Google Ads,2023-01-01,2023-03-02,796.0,0.0,USD,Wire Transfer,Paid,0,Digital Advertising & PR,AC-5010,Sales & Marketing,1153.5482343598237,0,711,Good,357.5482343598237,0,Digital Advertising & PR
INV-2023-13896,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,Slack,2023-01-01,2023-01-16,18772.9,3379.12,INR,Corporate Credit Card,Paid,0,Software Subscriptions (SaaS),AC-5005,Operating Expense (OpEx),20925.20007546574,0,309,Very Poor,-1226.819924534263,0,Software Subscriptions (SaaS)
INV-2023-13023,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,MosChip Technologies,2023-01-02,2023-01-17,2632726.02,473890.68,INR,Bank Transfer (NEFT),Pending,0,Hardware Emulation & IP Licensing,AC-5001,Direct Services Cost (COGS),3245340.4790598275,0,833,Exceptional,138723.7790598275,0,Hardware Emulation & IP Licensing
INV-2023-14441,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Tata Power,2023-01-02,2023-02-01,33983.95,6117.11,INR,Corporate Credit Card,Pending,0,Office Utilities & Janitorial,AC-5009,Operating Expense (OpEx),42059.45377279499,0,494,Very Poor,1958.3937727949897,0,Office Utilities & Janitorial
INV-2023-10628,Silicon Interfaces,Software Division,Quality Assurance & DevOps,CC-SW-QA,Saucelabs,2023-01-02,2023-03-03,26669.54,4800.52,INR,Bank Transfer (NEFT),Pending,0,Testing & Monitoring Tools,AC-5006,Operating Expense (OpEx),36674.100947690175,0,387,Very Poor,5204.040947690173,0,Testing & Monitoring Tools
INV-2023-14764,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Redington India,2023-01-02,2023-02-01,255849.97,46052.99,INR,Corporate Credit Card,Overdue,6,Hardware & Workstations,AC-5015,Operating Expense (OpEx),363426.192526313,0,585,Fair,61523.23252631301,0,Hardware & Workstations
INV-2023-12026,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,Capgemini Tech,2023-01-02,2023-02-01,3179513.0,572312.34,INR,Bank Transfer (NEFT),Paid,0,Project Engineering Contractors,AC-5003,Direct Services Cost (COGS),4762327.880439129,0,427,Very Poor,1010502.5404391288,1,Project Engineering Contractors
INV-2023-12817,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Lenovo,2023-01-02,2023-01-17,621860.94,111934.97,INR,Bank Transfer (NEFT),Paid,0,Hardware & Workstations,AC-5015,Operating Expense (OpEx),729341.9427036013,0,339,Very Poor,-4453.967296398623,0,Hardware & Workstations
INV-2023-13864,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Redington India,2023-01-02,2023-02-01,449817.88,80967.22,INR,Corporate Credit Card,Pending,0,Hardware & Workstations,AC-5015,Operating Expense (OpEx),536902.0260420947,0,823,Exceptional,6116.926042094681,0,Hardware & Workstations
INV-2023-10085,Silicon Interfaces,Corporate / Shared,IT & Telecom,CC-CORP-IT,Rashi Peripherals,2023-01-02,2023-02-01,655757.18,118036.29,INR,Bank Transfer (RTGS),Paid,0,Hardware & Workstations,AC-5015,Operating Expense (OpEx),906218.5448744133,0,444,Very Poor,132425.07487441326,0,Hardware & Workstations
INV-2023-11877,Silicon Interfaces,Corporate / Shared,Facilities & HR,CC-CORP-HR,Darwinbox,2023-01-02,2023-02-16,72286.3,13011.53,INR,Bank Transfer (NEFT),Paid,0,HR & Payroll Software,AC-5008,Operating Expense (OpEx),98430.63872671267,0,509,Very Poor,13132.808726712667,0,HR & Payroll Software
INV-2023-14503,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,Docker,2023-01-03,2023-03-04,51826.15,9328.71,INR,Corporate Credit Card,Paid,0,Software Subscriptions (SaaS),AC-5005,Operating Expense (OpEx),74942.74106781968,0,687,Good,13787.881067819675,0,Software Subscriptions (SaaS)
INV-2023-14773,Silicon Interfaces,Software Division,Software Engineering & Dev,CC-SW-DEV,CtrlS Datacenters,2023-01-03,2023-03-04,3173954.39,571311.79,INR,Bank Transfer (RTGS),Overdue,88,Cloud Compute & Server Hosting,AC-5004,Direct Services Cost (COGS),4251503.423397309,1,486,Very Poor,506237.243397309,1,Cloud Compute & Server Hosting
INV-2023-12042,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,Tessolve,2023-01-03,2023-02-02,902412.1,162434.18,INR,Bank Transfer (NEFT),Overdue,3,Project Engineering Contractors,AC-5003,Direct Services Cost (COGS),1225312.059112155,0,531,Very Poor,160465.77911215514,0,Project Engineering Contractors
INV-2023-14847,Silicon Interfaces,VLSI Division,VLSI Engineering & Design,CC-VLSI-ENG,MosChip,2023-01-03,2023-01-18,2504458.47,450802.52,INR,Bank Transfer (RTGS),Paid,0,Project Engineering Contractors,AC-5003,Direct Services Cost (COGS),3473825.7470469275,0,348,Very Poor,518564.75704692723,0,Project Engineering Contractors
